"","Vendedor","Data","Distância total percorrida (Em km)"
"8334","A406","2021-10-30",132.26
"8335","A408","2021-10-30",47.73
"8336","A410","2021-10-30",3.27
"8337","A417","2021-10-30",6.18
"8338","A422","2021-10-30",0
"8339","A429","2021-10-30",7.96
"8340","A431","2021-10-30",8.38
"8341","A432","2021-10-30",30.06
"8342","A433","2021-10-30",0
"8343","A445","2021-10-30",0.56
"8344","A446","2021-10-30",34.05
"8345","A460","2021-10-30",45.95
"8346","A466","2021-10-30",47.5
"8347","A469","2021-10-30",0
"8348","A510","2021-10-30",16.14
"8349","A511","2021-10-30",2.23
"8350","A544","2021-10-30",4.59
"8351","A546","2021-10-30",21.82
"8352","A547","2021-10-30",51.83
"8353","A605","2021-10-30",42.89
"8354","A606","2021-10-30",0
"8355","A611","2021-10-30",4.21
"8356","A613","2021-10-30",3.19
"8357","A614","2021-10-30",44
"8358","A674","2021-10-30",2.51
"8359","A680","2021-10-30",3.29
"8360","A711","2021-10-30",12.62
"8361","A712","2021-10-30",3.75
"8362","A713","2021-10-30",10.96
"8363","A714","2021-10-30",14.9
"8364","A715","2021-10-30",34.87
"8365","A716","2021-10-30",3.05
"8366","A717","2021-10-30",3.27
"8367","A718","2021-10-30",9.65
"8368","A720","2021-10-30",1.92
"8369","A721","2021-10-30",17.78
"8370","A722","2021-10-30",12.47
"8371","A723","2021-10-30",0
"8372","A724","2021-10-30",3.64
"8373","A725","2021-10-30",43.36
"8374","A727","2021-10-30",19.63
"8375","A728","2021-10-30",1.54
"8376","A729","2021-10-30",0
"8377","A730","2021-10-30",12.14
"8378","A732","2021-10-30",6.48
"8379","A733","2021-10-30",66.84
"8380","A736","2021-10-30",3.85
"8381","A738","2021-10-30",67.6
"8382","A739","2021-10-30",4.87
"8383","A740","2021-10-30",2.17
"8384","A741","2021-10-30",67.29
"8385","A742","2021-10-30",5.74
"8386","A744","2021-10-30",36.67
"8387","A745","2021-10-30",16.91
"8388","A748","2021-10-30",65.73
"8389","A750","2021-10-30",26.13
"8390","A751","2021-10-30",15.5
"8391","A756","2021-10-30",0.03
"8392","A785","2021-10-30",0
"8393","A786","2021-10-30",0
"8394","A793","2021-10-30",48.04
"8395","A796","2021-10-30",2.05
"8396","A797","2021-10-30",9.22
"8397","A798","2021-10-30",4.25
"8398","A801","2021-10-30",4.95
"8399","A802","2021-10-30",80.96
"8400","A804","2021-10-30",32.44
"8401","A838","2021-10-30",7.3
"8402","A839","2021-10-30",6.05
"8403","A841","2021-10-30",3.23
"8404","A842","2021-10-30",41.85
"8405","A843","2021-10-30",0
"8406","A844","2021-10-30",0
"8407","A845","2021-10-30",60.33
"8408","A850","2021-10-30",0
"8409","A851","2021-10-30",53.06
"8410","A852","2021-10-30",2.05
"8411","A853","2021-10-30",2.39
"8412","A855","2021-10-30",3.57
"8413","A856","2021-10-30",3.58
"8414","A858","2021-10-30",6.4
"8415","A859","2021-10-30",0
"8416","A995","2021-10-30",9.87
"8417","A997","2021-10-30",2.43
"8418","A999","2021-10-30",22.43
"8419","A001","2021-11-01",30.94
"8420","A002","2021-11-01",28.61
"8421","A003","2021-11-01",21.21
"8422","A005","2021-11-01",12.55
"8423","A007","2021-11-01",0
"8424","A008","2021-11-01",22.06
"8425","A009","2021-11-01",4
"8426","A010","2021-11-01",1.38
"8427","A011","2021-11-01",11.86
"8428","A012","2021-11-01",28.67
"8429","A013","2021-11-01",22.31
"8430","A014","2021-11-01",4.78
"8431","A015","2021-11-01",7.13
"8432","A016","2021-11-01",3.44
"8433","A017","2021-11-01",27.95
"8434","A018","2021-11-01",17.15
"8435","A019","2021-11-01",24.44
"8436","A020","2021-11-01",5.44
"8437","A021","2021-11-01",5.09
"8438","A036","2021-11-01",5.12
"8439","A037","2021-11-01",15.78
"8440","A038","2021-11-01",11.69
"8441","A039","2021-11-01",7.31
"8442","A041","2021-11-01",12.56
"8443","A042","2021-11-01",5.4
"8444","A043","2021-11-01",10.14
"8445","A044","2021-11-01",7.54
"8446","A046","2021-11-01",11.78
"8447","A047","2021-11-01",7.21
"8448","A048","2021-11-01",13.62
"8449","A049","2021-11-01",9.31
"8450","A051","2021-11-01",8.77
"8451","A053","2021-11-01",3.52
"8452","A054","2021-11-01",14.22
"8453","A056","2021-11-01",5.92
"8454","A057","2021-11-01",6.47
"8455","A059","2021-11-01",11.43
"8456","A060","2021-11-01",3.56
"8457","A061","2021-11-01",25.78
"8458","A062","2021-11-01",3.81
"8459","A063","2021-11-01",5.41
"8460","A064","2021-11-01",7.15
"8461","A065","2021-11-01",90.06
"8462","A066","2021-11-01",23.98
"8463","A067","2021-11-01",10.26
"8464","A068","2021-11-01",13.92
"8465","A069","2021-11-01",12.19
"8466","A070","2021-11-01",80.65
"8467","A071","2021-11-01",12.45
"8468","A073","2021-11-01",31.94
"8469","A074","2021-11-01",63.28
"8470","A075","2021-11-01",2.52
"8471","A076","2021-11-01",64.93
"8472","A077","2021-11-01",11.01
"8473","A078","2021-11-01",12.01
"8474","A079","2021-11-01",7.58
"8475","A080","2021-11-01",60.54
"8476","A081","2021-11-01",25.54
"8477","A082","2021-11-01",2.46
"8478","A083","2021-11-01",31.93
"8479","A084","2021-11-01",60.56
"8480","A095","2021-11-01",37.24
"8481","A098","2021-11-01",6.3
"8482","A099","2021-11-01",43.57
"8483","A170","2021-11-01",4.57
"8484","A190","2021-11-01",19.77
"8485","A192","2021-11-01",4.95
"8486","A193","2021-11-01",23.28
"8487","A194","2021-11-01",21.5
"8488","A195","2021-11-01",6.9
"8489","A196","2021-11-01",26.43
"8490","A209","2021-11-01",3.33
"8491","A225","2021-11-01",3.83
"8492","A227","2021-11-01",5.82
"8493","A230","2021-11-01",3.69
"8494","A233","2021-11-01",50.37
"8495","A235","2021-11-01",6.56
"8496","A243","2021-11-01",1.9
"8497","A244","2021-11-01",3.23
"8498","A252","2021-11-01",164.66
"8499","A253","2021-11-01",3.81
"8500","A255","2021-11-01",2.41
"8501","A287","2021-11-01",0
"8502","A302","2021-11-01",21.47
"8503","A304","2021-11-01",0
"8504","A305","2021-11-01",0
"8505","A306","2021-11-01",31.22
"8506","A307","2021-11-01",0
"8507","A334","2021-11-01",9.22
"8508","A364","2021-11-01",29.85
"8509","A365","2021-11-01",30.08
"8510","A366","2021-11-01",19.21
"8511","A368","2021-11-01",31.74
"8512","A378","2021-11-01",25.88
"8513","A379","2021-11-01",17.33
"8514","A382","2021-11-01",197.37
"8515","A402","2021-11-01",0
"8516","A405","2021-11-01",35.84
"8517","A406","2021-11-01",81.67
"8518","A408","2021-11-01",32.45
"8519","A410","2021-11-01",69.53
"8520","A417","2021-11-01",12.61
"8521","A422","2021-11-01",30.78
"8522","A429","2021-11-01",4.39
"8523","A431","2021-11-01",16.08
"8524","A432","2021-11-01",124.18
"8525","A433","2021-11-01",44.26
"8526","A445","2021-11-01",38.35
"8527","A446","2021-11-01",38.5
"8528","A460","2021-11-01",5.93
"8529","A466","2021-11-01",12.57
"8530","A469","2021-11-01",1.22
"8531","A510","2021-11-01",20.79
"8532","A511","2021-11-01",5.12
"8533","A544","2021-11-01",7.13
"8534","A546","2021-11-01",28.58
"8535","A547","2021-11-01",30.47
"8536","A605","2021-11-01",12.98
"8537","A606","2021-11-01",0
"8538","A611","2021-11-01",47.16
"8539","A613","2021-11-01",91.07
"8540","A614","2021-11-01",24.14
"8541","A674","2021-11-01",18.76
"8542","A680","2021-11-01",4.41
"8543","A711","2021-11-01",5.04
"8544","A712","2021-11-01",3.55
"8545","A713","2021-11-01",3.88
"8546","A714","2021-11-01",64.32
"8547","A715","2021-11-01",12.84
"8548","A716","2021-11-01",3.73
"8549","A717","2021-11-01",22.9
"8550","A718","2021-11-01",13.12
"8551","A720","2021-11-01",3.12
"8552","A721","2021-11-01",75
"8553","A722","2021-11-01",17.1
"8554","A723","2021-11-01",4.7
"8555","A724","2021-11-01",9.85
"8556","A725","2021-11-01",15.36
"8557","A727","2021-11-01",10.24
"8558","A728","2021-11-01",3.14
"8559","A729","2021-11-01",10.61
"8560","A730","2021-11-01",10.03
"8561","A732","2021-11-01",7.75
"8562","A733","2021-11-01",43.83
"8563","A736","2021-11-01",4.27
"8564","A738","2021-11-01",72.48
"8565","A739","2021-11-01",13.64
"8566","A740","2021-11-01",8.53
"8567","A741","2021-11-01",41.8
"8568","A742","2021-11-01",17.19
"8569","A744","2021-11-01",26.05
"8570","A745","2021-11-01",19.88
"8571","A748","2021-11-01",39.31
"8572","A750","2021-11-01",23.96
"8573","A751","2021-11-01",10.63
"8574","A756","2021-11-01",80.83
"8575","A785","2021-11-01",0
"8576","A786","2021-11-01",8.83
"8577","A793","2021-11-01",23.2
"8578","A796","2021-11-01",4.77
"8579","A797","2021-11-01",8.4
"8580","A798","2021-11-01",5.42
"8581","A801","2021-11-01",6.29
"8582","A802","2021-11-01",30.86
"8583","A804","2021-11-01",44.41
"8584","A838","2021-11-01",37.62
"8585","A839","2021-11-01",35.12
"8586","A841","2021-11-01",19.97
"8587","A842","2021-11-01",85.81
"8588","A843","2021-11-01",0
"8589","A844","2021-11-01",2.39
"8590","A845","2021-11-01",39.14
"8591","A850","2021-11-01",0
"8592","A851","2021-11-01",22.38
"8593","A852","2021-11-01",29.26
"8594","A853","2021-11-01",3.82
"8595","A855","2021-11-01",14.91
"8596","A856","2021-11-01",43.17
"8597","A858","2021-11-01",33.01
"8598","A859","2021-11-01",33.42
"8599","A995","2021-11-01",29.85
"8600","A997","2021-11-01",33.33
"8601","A999","2021-11-01",6.5
"8602","A001","2021-11-02",47.89
"8603","A002","2021-11-02",10.25
"8604","A003","2021-11-02",9.26
"8605","A005","2021-11-02",3.49
"8606","A007","2021-11-02",0
"8607","A008","2021-11-02",10.31
"8608","A009","2021-11-02",3.06
"8609","A010","2021-11-02",2.94
"8610","A011","2021-11-02",10.29
"8611","A012","2021-11-02",21.65
"8612","A013","2021-11-02",9.64
"8613","A014","2021-11-02",0
"8614","A015","2021-11-02",3.79
"8615","A016","2021-11-02",2.89
"8616","A017","2021-11-02",6.28
"8617","A018","2021-11-02",11.48
"8618","A019","2021-11-02",24.46
"8619","A020","2021-11-02",3.44
"8620","A021","2021-11-02",6.6
"8621","A036","2021-11-02",7.42
"8622","A037","2021-11-02",16.76
"8623","A038","2021-11-02",6.54
"8624","A039","2021-11-02",20.19
"8625","A041","2021-11-02",11.29
"8626","A042","2021-11-02",5.24
"8627","A043","2021-11-02",3.4
"8628","A044","2021-11-02",0
"8629","A046","2021-11-02",5.66
"8630","A047","2021-11-02",3.22
"8631","A048","2021-11-02",2.82
"8632","A049","2021-11-02",18.26
"8633","A051","2021-11-02",28.44
"8634","A053","2021-11-02",6.23
"8635","A054","2021-11-02",13.67
"8636","A056","2021-11-02",3.82
"8637","A057","2021-11-02",11.27
"8638","A059","2021-11-02",25.86
"8639","A060","2021-11-02",6.19
"8640","A061","2021-11-02",6.81
"8641","A062","2021-11-02",5.22
"8642","A063","2021-11-02",5.99
"8643","A064","2021-11-02",15.75
"8644","A065","2021-11-02",36.29
"8645","A066","2021-11-02",23.28
"8646","A067","2021-11-02",29.84
"8647","A068","2021-11-02",29.6
"8648","A069","2021-11-02",30.32
"8649","A070","2021-11-02",13.41
"8650","A071","2021-11-02",11.73
"8651","A073","2021-11-02",9.71
"8652","A074","2021-11-02",6.72
"8653","A075","2021-11-02",4.03
"8654","A076","2021-11-02",4.01
"8655","A077","2021-11-02",2.6
"8656","A078","2021-11-02",8.41
"8657","A079","2021-11-02",4.12
"8658","A080","2021-11-02",6.51
"8659","A081","2021-11-02",81.06
"8660","A082","2021-11-02",70.7
"8661","A083","2021-11-02",38.57
"8662","A084","2021-11-02",58.57
"8663","A095","2021-11-02",2.88
"8664","A098","2021-11-02",7.37
"8665","A099","2021-11-02",18.86
"8666","A170","2021-11-02",3.81
"8667","A190","2021-11-02",16.13
"8668","A192","2021-11-02",7.38
"8669","A193","2021-11-02",47.38
"8670","A194","2021-11-02",23.34
"8671","A195","2021-11-02",4.85
"8672","A196","2021-11-02",10.69
"8673","A209","2021-11-02",6.44
"8674","A225","2021-11-02",16.74
"8675","A227","2021-11-02",21.7
"8676","A230","2021-11-02",2.34
"8677","A233","2021-11-02",26.53
"8678","A235","2021-11-02",18.61
"8679","A243","2021-11-02",4.91
"8680","A244","2021-11-02",3.69
"8681","A252","2021-11-02",142.96
"8682","A253","2021-11-02",4.29
"8683","A255","2021-11-02",1.27
"8684","A287","2021-11-02",6.79
"8685","A302","2021-11-02",19.34
"8686","A304","2021-11-02",0
"8687","A305","2021-11-02",44.73
"8688","A306","2021-11-02",9.6
"8689","A307","2021-11-02",31.27
"8690","A334","2021-11-02",15.26
"8691","A364","2021-11-02",55.26
"8692","A365","2021-11-02",22.85
"8693","A366","2021-11-02",15.23
"8694","A368","2021-11-02",41.64
"8695","A378","2021-11-02",7.25
"8696","A379","2021-11-02",20.55
"8697","A382","2021-11-02",91.7
"8698","A402","2021-11-02",0
"8699","A405","2021-11-02",15.73
"8700","A406","2021-11-02",12.33
"8701","A408","2021-11-02",8.75
"8702","A410","2021-11-02",22.61
"8703","A417","2021-11-02",7.68
"8704","A422","2021-11-02",0.54
"8705","A429","2021-11-02",6.54
"8706","A431","2021-11-02",6.88
"8707","A432","2021-11-02",23.63
"8708","A433","2021-11-02",19.28
"8709","A445","2021-11-02",10.78
"8710","A446","2021-11-02",25.32
"8711","A460","2021-11-02",17.1
"8712","A466","2021-11-02",38.58
"8713","A469","2021-11-02",0.08
"8714","A510","2021-11-02",5.24
"8715","A511","2021-11-02",3.27
"8716","A544","2021-11-02",8.44
"8717","A546","2021-11-02",9.92
"8718","A547","2021-11-02",3.31
"8719","A605","2021-11-02",4.64
"8720","A606","2021-11-02",0
"8721","A611","2021-11-02",86.22
"8722","A613","2021-11-02",3.72
"8723","A614","2021-11-02",29.74
"8724","A674","2021-11-02",4.82
"8725","A680","2021-11-02",35.58
"8726","A711","2021-11-02",0.59
"8727","A712","2021-11-02",3.79
"8728","A713","2021-11-02",10.48
"8729","A714","2021-11-02",45.66
"8730","A715","2021-11-02",19.75
"8731","A716","2021-11-02",5.62
"8732","A717","2021-11-02",21.78
"8733","A718","2021-11-02",74.96
"8734","A720","2021-11-02",5.64
"8735","A721","2021-11-02",133.71
"8736","A722","2021-11-02",7.49
"8737","A723","2021-11-02",3.24
"8738","A724","2021-11-02",0.74
"8739","A725","2021-11-02",9.62
"8740","A727","2021-11-02",11.92
"8741","A728","2021-11-02",2.64
"8742","A729","2021-11-02",10.58
"8743","A730","2021-11-02",9.86
"8744","A732","2021-11-02",5.24
"8745","A733","2021-11-02",119.62
"8746","A736","2021-11-02",5.63
"8747","A738","2021-11-02",49.3
"8748","A739","2021-11-02",8.49
"8749","A740","2021-11-02",4.6
"8750","A741","2021-11-02",30.13
"8751","A742","2021-11-02",18.69
"8752","A744","2021-11-02",25.21
"8753","A745","2021-11-02",22.08
"8754","A748","2021-11-02",13.44
"8755","A750","2021-11-02",26.7
"8756","A751","2021-11-02",37.93
"8757","A756","2021-11-02",105.67
"8758","A785","2021-11-02",0
"8759","A786","2021-11-02",5.7
"8760","A793","2021-11-02",9.56
"8761","A796","2021-11-02",4.24
"8762","A797","2021-11-02",4.76
"8763","A798","2021-11-02",5.74
"8764","A801","2021-11-02",6.19
"8765","A802","2021-11-02",14.34
"8766","A804","2021-11-02",73.21
"8767","A838","2021-11-02",12.42
"8768","A839","2021-11-02",50.73
"8769","A841","2021-11-02",3.46
"8770","A842","2021-11-02",72.81
"8771","A843","2021-11-02",0.14
"8772","A844","2021-11-02",0
"8773","A845","2021-11-02",23.18
"8774","A850","2021-11-02",10.93
"8775","A851","2021-11-02",0
"8776","A852","2021-11-02",5.04
"8777","A853","2021-11-02",4.9
"8778","A855","2021-11-02",6.86
"8779","A856","2021-11-02",37.02
"8780","A858","2021-11-02",6.84
"8781","A859","2021-11-02",5.32
"8782","A995","2021-11-02",31.38
"8783","A997","2021-11-02",8.93
"8784","A999","2021-11-02",27.09
"8785","A001","2021-09-01",0
"8786","A002","2021-09-01",9.29
"8787","A003","2021-09-01",15.82
"8788","A005","2021-09-01",9.81
"8789","A007","2021-09-01",0
"8790","A008","2021-09-01",21.75
"8791","A009","2021-09-01",1.31
"8792","A010","2021-09-01",0
"8793","A011","2021-09-01",42.37
"8794","A012","2021-09-01",28.86
"8795","A013","2021-09-01",20.27
"8796","A014","2021-09-01",20.69
"8797","A015","2021-09-01",7.46
"8798","A016","2021-09-01",45.27
"8799","A017","2021-09-01",4.96
"8800","A018","2021-09-01",23.84
"8801","A019","2021-09-01",4.01
"8802","A020","2021-09-01",2.18
"8803","A021","2021-09-01",5.78
"8804","A036","2021-09-01",23.83
"8805","A037","2021-09-01",22.97
"8806","A038","2021-09-01",0
"8807","A039","2021-09-01",58.12
"8808","A041","2021-09-01",6.53
"8809","A042","2021-09-01",3.91
"8810","A043","2021-09-01",6.9
"8811","A044","2021-09-01",9.75
"8812","A046","2021-09-01",3.14
"8813","A047","2021-09-01",2.64
"8814","A048","2021-09-01",9.37
"8815","A049","2021-09-01",6.3
"8816","A051","2021-09-01",14.35
"8817","A053","2021-09-01",6.48
"8818","A054","2021-09-01",6.03
"8819","A056","2021-09-01",11.69
"8820","A057","2021-09-01",12.8
"8821","A059","2021-09-01",34.9
"8822","A060","2021-09-01",4.07
"8823","A061","2021-09-01",4.62
"8824","A062","2021-09-01",4.61
"8825","A063","2021-09-01",8.9
"8826","A064","2021-09-01",4.8
"8827","A065","2021-09-01",22.1
"8828","A066","2021-09-01",23.28
"8829","A067","2021-09-01",11.34
"8830","A068","2021-09-01",13.7
"8831","A069","2021-09-01",4.88
"8832","A070","2021-09-01",7.02
"8833","A071","2021-09-01",8.92
"8834","A073","2021-09-01",8.41
"8835","A074","2021-09-01",5.94
"8836","A075","2021-09-01",12.16
"8837","A076","2021-09-01",5.22
"8838","A077","2021-09-01",5.74
"8839","A078","2021-09-01",9.38
"8840","A079","2021-09-01",38.45
"8841","A080","2021-09-01",16.52
"8842","A081","2021-09-01",97.34
"8843","A082","2021-09-01",4.23
"8844","A083","2021-09-01",19.27
"8845","A084","2021-09-01",21.12
"8846","A095","2021-09-01",0
"8847","A098","2021-09-01",0
"8848","A099","2021-09-01",0
"8849","A170","2021-09-01",6.14
"8850","A190","2021-09-01",0
"8851","A192","2021-09-01",10.95
"8852","A193","2021-09-01",0
"8853","A194","2021-09-01",14.06
"8854","A195","2021-09-01",2.97
"8855","A196","2021-09-01",18.52
"8856","A209","2021-09-01",3.33
"8857","A225","2021-09-01",0
"8858","A227","2021-09-01",0
"8859","A230","2021-09-01",2.14
"8860","A233","2021-09-01",0
"8861","A235","2021-09-01",2.76
"8862","A243","2021-09-01",2.84
"8863","A244","2021-09-01",2.44
"8864","A252","2021-09-01",0
"8865","A253","2021-09-01",4.13
"8866","A255","2021-09-01",3.79
"8867","A287","2021-09-01",43.26
"8868","A302","2021-09-01",11.19
"8869","A304","2021-09-01",5.36
"8870","A305","2021-09-01",0
"8871","A306","2021-09-01",20.27
"8872","A307","2021-09-01",33.11
"8873","A334","2021-09-01",19.21
"8874","A364","2021-09-01",0
"8875","A365","2021-09-01",0
"8876","A366","2021-09-01",0
"8877","A368","2021-09-01",0
"8878","A378","2021-09-01",0
"8879","A379","2021-09-01",0
"8880","A382","2021-09-01",0
"8881","A402","2021-09-01",0
"8882","A405","2021-09-01",0
"8883","A406","2021-09-01",0
"8884","A408","2021-09-01",0
"8885","A410","2021-09-01",0
"8886","A417","2021-09-01",0
"8887","A422","2021-09-01",0
"8888","A429","2021-09-01",29.65
"8889","A431","2021-09-01",0
"8890","A432","2021-09-01",0
"8891","A433","2021-09-01",21.92
"8892","A445","2021-09-01",0
"8893","A446","2021-09-01",0
"8894","A460","2021-09-01",0
"8895","A466","2021-09-01",0
"8896","A469","2021-09-01",0
"8897","A510","2021-09-01",0
"8898","A511","2021-09-01",3.37
"8899","A544","2021-09-01",12.5
"8900","A546","2021-09-01",0
"8901","A547","2021-09-01",0
"8902","A605","2021-09-01",10.69
"8903","A606","2021-09-01",13.29
"8904","A611","2021-09-01",0
"8905","A613","2021-09-01",0
"8906","A614","2021-09-01",0
"8907","A674","2021-09-01",8.56
"8908","A680","2021-09-01",7.83
"8909","A711","2021-09-01",3.87
"8910","A712","2021-09-01",4.5
"8911","A713","2021-09-01",4
"8912","A714","2021-09-01",6.22
"8913","A715","2021-09-01",43.62
"8914","A716","2021-09-01",11.51
"8915","A717","2021-09-01",11.03
"8916","A718","2021-09-01",13.23
"8917","A720","2021-09-01",3.93
"8918","A721","2021-09-01",67.86
"8919","A722","2021-09-01",10.57
"8920","A723","2021-09-01",0
"8921","A724","2021-09-01",7.8
"8922","A725","2021-09-01",6.77
"8923","A727","2021-09-01",15.8
"8924","A728","2021-09-01",2.75
"8925","A729","2021-09-01",1.65
"8926","A730","2021-09-01",12.03
"8927","A732","2021-09-01",10.1
"8928","A733","2021-09-01",0
"8929","A736","2021-09-01",5.18
"8930","A738","2021-09-01",0
"8931","A739","2021-09-01",0
"8932","A740","2021-09-01",4.99
"8933","A741","2021-09-01",0
"8934","A742","2021-09-01",0
"8935","A744","2021-09-01",0
"8936","A745","2021-09-01",0
"8937","A748","2021-09-01",0
"8938","A750","2021-09-01",0
"8939","A751","2021-09-01",0
"8940","A756","2021-09-01",0
"8941","A785","2021-09-01",0.28
"8942","A786","2021-09-01",17.13
"8943","A793","2021-09-01",0
"8944","A796","2021-09-01",6.15
"8945","A797","2021-09-01",32.91
"8946","A798","2021-09-01",24.78
"8947","A801","2021-09-01",5.75
"8948","A802","2021-09-01",13.86
"8949","A804","2021-09-01",0
"8950","A838","2021-09-01",10.88
"8951","A839","2021-09-01",0
"8952","A841","2021-09-01",0
"8953","A842","2021-09-01",0
"8954","A843","2021-09-01",0
"8955","A844","2021-09-01",0
"8956","A845","2021-09-01",0
"8957","A850","2021-09-01",0
"8958","A851","2021-09-01",0
"8959","A852","2021-09-01",6.37
"8960","A853","2021-09-01",6.52
"8961","A855","2021-09-01",8.65
"8962","A856","2021-09-01",8.54
"8963","A858","2021-09-01",12.04
"8964","A859","2021-09-01",0
"8965","A995","2021-09-01",0
"8966","A997","2021-09-01",0
"8967","A999","2021-09-01",22.31
"8968","A001","2021-09-03",0
"8969","A002","2021-09-03",10.99
"8970","A003","2021-09-03",34.09
"8971","A005","2021-09-03",7.61
"8972","A007","2021-09-03",0
"8973","A008","2021-09-03",16.54
"8974","A009","2021-09-03",4.37
"8975","A010","2021-09-03",0
"8976","A011","2021-09-03",10.95
"8977","A012","2021-09-03",14.41
"8978","A013","2021-09-03",13.95
"8979","A014","2021-09-03",5.63
"8980","A015","2021-09-03",4.38
"8981","A016","2021-09-03",39.29
"8982","A017","2021-09-03",4.89
"8983","A018","2021-09-03",14.96
"8984","A019","2021-09-03",21.03
"8985","A020","2021-09-03",0.95
"8986","A021","2021-09-03",8.66
"8987","A036","2021-09-03",4.39
"8988","A037","2021-09-03",5.55
"8989","A038","2021-09-03",10.37
"8990","A039","2021-09-03",28.34
"8991","A041","2021-09-03",5.06
"8992","A042","2021-09-03",2.16
"8993","A043","2021-09-03",2.6
"8994","A044","2021-09-03",4.61
"8995","A046","2021-09-03",18.55
"8996","A047","2021-09-03",2.74
"8997","A048","2021-09-03",2.41
"8998","A049","2021-09-03",10.34
"8999","A051","2021-09-03",33.81
"9000","A053","2021-09-03",9.89
"9001","A054","2021-09-03",10.83
"9002","A056","2021-09-03",4.7
"9003","A057","2021-09-03",5.8
"9004","A059","2021-09-03",42.05
"9005","A060","2021-09-03",8.16
"9006","A061","2021-09-03",5.02
"9007","A062","2021-09-03",9.78
"9008","A063","2021-09-03",5.87
"9009","A064","2021-09-03",14.31
"9010","A065","2021-09-03",54.8
"9011","A066","2021-09-03",22.5
"9012","A067","2021-09-03",5.21
"9013","A068","2021-09-03",13.52
"9014","A069","2021-09-03",13.87
"9015","A070","2021-09-03",36.25
"9016","A071","2021-09-03",4.21
"9017","A073","2021-09-03",20.27
"9018","A074","2021-09-03",29.96
"9019","A075","2021-09-03",26.09
"9020","A076","2021-09-03",4.01
"9021","A077","2021-09-03",6.02
"9022","A078","2021-09-03",19.58
"9023","A079","2021-09-03",56.26
"9024","A080","2021-09-03",58.87
"9025","A081","2021-09-03",50.82
"9026","A082","2021-09-03",5.82
"9027","A083","2021-09-03",0
"9028","A084","2021-09-03",21.78
"9029","A095","2021-09-03",0
"9030","A098","2021-09-03",0
"9031","A099","2021-09-03",0
"9032","A170","2021-09-03",5.06
"9033","A190","2021-09-03",0
"9034","A192","2021-09-03",8.94
"9035","A193","2021-09-03",0
"9036","A194","2021-09-03",23.76
"9037","A195","2021-09-03",10.61
"9038","A196","2021-09-03",36.42
"9039","A209","2021-09-03",10.69
"9040","A225","2021-09-03",0
"9041","A227","2021-09-03",12.38
"9042","A230","2021-09-03",1.8
"9043","A233","2021-09-03",0
"9044","A235","2021-09-03",2.53
"9045","A243","2021-09-03",1.94
"9046","A244","2021-09-03",3
"9047","A252","2021-09-03",0
"9048","A253","2021-09-03",2.45
"9049","A255","2021-09-03",5.14
"9050","A287","2021-09-03",8.51
"9051","A302","2021-09-03",3.66
"9052","A304","2021-09-03",10.91
"9053","A305","2021-09-03",0
"9054","A306","2021-09-03",3.04
"9055","A307","2021-09-03",8.1
"9056","A334","2021-09-03",0
"9057","A364","2021-09-03",0
"9058","A365","2021-09-03",0
"9059","A366","2021-09-03",0
"9060","A368","2021-09-03",0
"9061","A378","2021-09-03",0
"9062","A379","2021-09-03",0
"9063","A382","2021-09-03",0
"9064","A402","2021-09-03",0
"9065","A405","2021-09-03",0
"9066","A406","2021-09-03",0
"9067","A408","2021-09-03",0
"9068","A410","2021-09-03",0
"9069","A417","2021-09-03",0
"9070","A422","2021-09-03",0
"9071","A429","2021-09-03",59.3
"9072","A431","2021-09-03",0
"9073","A432","2021-09-03",0
"9074","A433","2021-09-03",19.99
"9075","A445","2021-09-03",0
"9076","A446","2021-09-03",0
"9077","A460","2021-09-03",0
"9078","A466","2021-09-03",0
"9079","A469","2021-09-03",0
"9080","A510","2021-09-03",0
"9081","A511","2021-09-03",3.61
"9082","A544","2021-09-03",4.62
"9083","A546","2021-09-03",0
"9084","A547","2021-09-03",0
"9085","A605","2021-09-03",31.79
"9086","A606","2021-09-03",71.95
"9087","A611","2021-09-03",0
"9088","A613","2021-09-03",0
"9089","A614","2021-09-03",0
"9090","A674","2021-09-03",10.49
"9091","A680","2021-09-03",19.15
"9092","A711","2021-09-03",7.91
"9093","A712","2021-09-03",4.82
"9094","A713","2021-09-03",6.53
"9095","A714","2021-09-03",61.26
"9096","A715","2021-09-03",37.94
"9097","A716","2021-09-03",26.66
"9098","A717","2021-09-03",21.91
"9099","A718","2021-09-03",15.69
"9100","A720","2021-09-03",2.82
"9101","A721","2021-09-03",105.14
"9102","A722","2021-09-03",9.72
"9103","A723","2021-09-03",3.44
"9104","A724","2021-09-03",4.56
"9105","A725","2021-09-03",5.79
"9106","A727","2021-09-03",6.3
"9107","A728","2021-09-03",2.99
"9108","A729","2021-09-03",11.81
"9109","A730","2021-09-03",5.49
"9110","A732","2021-09-03",5.13
"9111","A733","2021-09-03",0
"9112","A736","2021-09-03",7.24
"9113","A738","2021-09-03",0
"9114","A739","2021-09-03",0
"9115","A740","2021-09-03",12.67
"9116","A741","2021-09-03",0
"9117","A742","2021-09-03",0
"9118","A744","2021-09-03",0
"9119","A745","2021-09-03",0
"9120","A748","2021-09-03",0
"9121","A750","2021-09-03",0
"9122","A751","2021-09-03",0
"9123","A756","2021-09-03",0
"9124","A785","2021-09-03",3.02
"9125","A786","2021-09-03",7.66
"9126","A793","2021-09-03",0
